0,1,2,3,4,5
44,86,23,93,91,07
77,86,11,43,14,87
39,38,44,60,**,36
79,59,28,73,75,52
19,51,**,94,83,67
67,76,60,20,19,97
57,40,25,31,08,61
69,25,01,30,73,80
36,18,14,09,96,24
27,29,86,30,30,06
29,33,50,38,09,98
52,52,78,51,21,54
24,82,85,52,44,54
82,67,00,68,95,**
54,69,97,12,97,82
56,22,54,65,34,53
16,29,00,17,07,22
47,18,60,61,02,64
47,44,64,82,28,04
71,76,35,87,82,66
60,74,27,10,51,85
04,58,61,51,39,32
67,43,19,80,57,58
91,39,44,40,33,16
40,83,47,79,26,11
90,77,84,33,00,73
17,39,59,11,66,44
19,50,19,94,33,78
04,57,03,07,40,42
40,57,51,72,16,07
60,44,98,98,96,10
19,22,22,62,82,38
53,36,95,18,69,**
**,60,74,44,43,09
25,67,65,97,00,94
26,32,**,88,**,81
26,69,16,62,41,91
81,87,21,88,28,65
81,46,62,35,78,59
97,51,24,42,80,78
39,85,69,**,69,04
72,78,81,60,62,65
20,36,01,74,88,73
98,77,37,30,39,37
**,01,66,59,03,27
08,27,41,81,40,76
85,75,99,57,17,44
50,13,35,69,19,61
31,78,12,17,71,21
70,82,50,87,64,03
88,79,44,11,81,64
31,80,54,57,69,33
36,17,93,82,95,33
07,79,59,41,53,**
39,09,01,09,89,97
36,91,96,**,25,13
94,89,49,14,20,09
66,72,20,52,06,42
15,49,82,47,76,43
74,66,83,32,84,30
67,42,90,84,26,62
96,37,85,**,72,83
02,44,05,95,70,87
87,01,17,72,49,29
81,04,34,78,27,61
54,03,57,97,18,41
81,80,96,04,42,07
06,87,84,33,12,24
83,63,66,84,31,81
63,00,31,04,70,88
53,21,66,78,66,56
21,18,50,20,23,67
17,98,36,77,47,93
00,97,56,15,05,56
53,10,53,29,21,86
94,42,52,65,98,40
80,33,59,38,91,48
46,72,29,83,05,71
71,79,15,75,66,91
33,48,26,95,02,75
70,61,66,89,02,82
17,46,98,56,48,23
82,65,31,**,43,42
11,60,56,95,63,82
67,55,**,26,50,29
**,**,14,01,09,43
38,80,35,36,71,75
48,35,07,03,11,55
97,09,92,28,97,39
07,06,83,12,63,18
60,62,37,01,71,**
32,99,88,55,72,06
57,62,65,53,59,20
56,55,85,97,59,73
42,86,**,11,47,**
51,80,90,41,37,72
80,78,23,88,25,23
**,**,**,**,**,**
**,**,**,40,49,60
49,04,12,56,19,31
45,43,45,23,59,25
37,16,90,53,11,40
91,33,29,89,67,74
85,42,61,15,99,94
51,29,50,18,84,17
99,96,33,96,67,26
**,17,88,99,28,96
86,16,63,94,53,**
32,66,70,46,68,45
19,23,35,31,09,83
79,22,79,39,53,77
67,99,35,14,03,52
53,20,41,58,50,11
38,22,68,26,22,23
36,51,92,48,54,82
16,41,41,45,10,70
03,15,**,79,63,43
90,40,77,52,22,26
96,22,49,24,21,50
21,81,87,50,63,56
9*,45,45,57,92,39
00,45,81,89,62,97
22,00,98,84,06,49
15,17,68,05,09,31
87,95,21,65,52,88
06,51,00,84,32,51
69,47,83,90,16,02
19,98,83,49,47,69
60,57,42,91,73,21
19,47,85,75,33,17
83,61,55,97,43,66
83,14,54,62,12,19
03,79,70,45,69,07
83,37,39,22,83,35
61,51,82,78,47,70
64,08,21,30,**,78
68,64,76,**,71,92
05,68,55,60,08,97
46,53,34,97,60,91
75,70,28,42,45,52
**,01,07,81,20,48
31,77,55,27,77,24
54,95,30,73,30,59
57,59,41,68,94,37
22,03,33,06,80,71
29,93,97,33,86,82
51,03,52,68,26,03
94,64,86,40,**,**
**,**,**,**,**,**
61,21,25,54,45,54
20,21,27,71,94,97
76,05,93,01,51,89
45,31,60,28,70,76
28,52,20,41,29,48
32,67,41,16,65,79
80,83,51,54,98,58
83,08,48,68,86,52
39,01,83,32,87,42
82,**,73,18,78,05
89,80,20,49,63,74
87,30,32,02,16,02
24,29,86,15,43,40
09,84,78,28,90,22
68,59,02,53,18,34
81,95,55,51,65,69
59,62,12,70,51,31
69,98,87,66,24,64
**,83,76,31,44,46
**,**,**,37,21,34
44,27,26,21,28,81
09,00,64,28,02,66
26,60,58,22,11,45
44,69,74,57,44,57
07,92,60,99,63,84
45,03,30,93,91,27
60,17,69,82,49,69
77,61,61,00,39,84
11,37,14,99,77,43
90,16,62,27,52,05
43,91,07,89,25,17
28,82,27,30,22,17
00,13,36,51,88,95
98,49,90,50,59,95
48,74,68,68,72,18
40,63,98,21,65,37
37,35,62,46,15,65
49,**,48,12,81,08
73,62,97,14,42,42
71,49,46,29,**,69
90,44,49,31,86,15
93,97,79,06,35,09
06,91,90,96,90,72
59,12,80,67,08,78
05,85,81,49,53,82
43,08,07,69,75,15
66,25,06,34,98,93
81,46,37,44,67,50
07,13,89,28,04,53
**,**,**,**,**,**
**,91,24,92,82,86
16,16,93,37,38,56
91,83,46,55,93,86
22,71,01,52,52,60
05,73,74,38,34,73
12,22,29,58,52,90
99,35,27,22,16,23
55,66,10,93,95,27
47,72,58,41,12,35
04,10,58,37,41,83
54,22,41,06,44,96
09,06,**,68,78,78
33,66,64,34,62,93
**,07,04,84,92,29
90,36,76,09,13,81
31,97,99,73,53,66
99,92,15,14,54,57
84,13,78,14,83,31
80,77,27,63,**,15
85,80,87,01,81,55
76,43,79,33,47,02
33,95,47,20,50,32
38,10,99,42,04,64
15,90,12,39,15,25
68,56,61,65,12,04
61,96,95,62,38,93
43,31,46,64,54,63
52,61,89,03,71,60
89,82,40,17,71,64
41,76,64,26,20,69
92,28,73,08,63,51
42,34,20,29,23,46
01,81,44,08,59,72
48,94,15,98,34,31
02,35,23,85,65,00
86,64,89,70,36,86
65,27,12,27,33,38
80,32,91,20,65,**
11,55,88,20,94,29
94,98,04,04,20,07
26,28,88,98,92,44
57,14,20,59,90,**
60,48,21,50,07,92
67,88,42,99,16,74
99,75,11,04,55,97
18,99,75,96,76,41
20,55,21,36,58,45
92,97,00,58,03,01
78,41,18,68,54,34
31,98,57,56,80,28
04,02,41,19,04,49
04,12,43,82,67,80
14,64,14,42,76,39
62,00,86,83,44,79
**,**,**,**,**,**
27,51,06,81,72,61
83,75,73,30,85,73
39,79,50,43,00,61
34,50,33,26,85,29
33,74,93,07,78,83
81,17,38,34,43,15
90,17,56,23,51,30
73,27,45,72,98,11
70,02,96,69,82,35
98,73,93,09,75,59
61,**,26,25,41,01
09,73,87,75,62,75
13,08,27,23,03,80
66,46,94,27,04,08
67,23,64,51,56,71
01,30,23,76,88,23
02,96,48,59,31,87
66,54,40,88,04,01
49,93,71,**,61,53
50,88,07,09,53,41
34,38,53,57,52,72
31,85,90,21,41,45
47,69,20,83,59,35
34,88,15,80,12,89
51,31,77,94,84,18
21,12,24,52,55,75
21,41,20,74,90,26
19,12,99,19,94,42
53,28,26,67,71,55
91,87,99,40,32,22
55,90,10,63,49,96
80,17,79,51,30,66
47,09,59,07,84,57
28,53,93,**,46,36
02,20,78,02,04,99
16,71,41,72,41,47
49,71,65,09,86,25
16,01,05,61,62,05
40,38,97,64,47,81
**,62,82,98,91,89
37,00,19,24,15,98
33,92,77,89,31,82
61,31,70,89,52,30
65,38,86,33,15,16
30,22,33,30,58,36
55,16,29,82,77,36
38,95,03,17,48,32
78,45,61,41,00,21
05,62,85,89,75,52
09,93,80,43,**,**
**,**,**,**,**,**
65,62,71,76,40,17
97,33,65,66,31,35
15,95,97,74,19,88
94,20,95,58,47,79
34,14,57,67,97,50
81,19,57,53,34,96
84,87,30,12,19,59
81,45,48,61,60,57
80,86,76,46,58,48
84,98,00,49,66,84
62,14,45,24,05,82
59,18,99,**,65,78
22,08,96,31,75,10
53,22,96,56,24,32
10,94,91,94,31,35
35,58,35,73,04,45
82,89,43,43,47,16
22,46,46,35,01,40
**,81,22,25,70,95
30,52,86,81,11,61
57,12,06,18,65,42
16,93,11,42,35,87
93,82,57,81,58,17
99,38,92,66,10,68
98,59,56,58,06,28
05,77,28,14,33,92
01,79,76,89,87,17
28,94,86,80,25,46
77,42,58,42,51,45
52,75,91,34,03,41
06,84,04,10,60,69
86,01,41,71,60,27
88,89,28,64,49,74
**,61,22,06,32,88
78,55,35,32,95,24
04,46,02,97,07,09
67,04,00,69,22,67
43,98,15,91,43,86
62,73,49,28,22,73
67,91,67,00,88,39
86,**,57,92,34,46
80,77,79,55,94,77
38,61,03,06,14,52
57,63,56,26,10,62
40,02,61,83,95,13
53,01,02,73,02,36
58,61,39,81,18,15
27,91,52,76,47,79
55,74,26,22,32,06
**,**,**,**,**,**
**,**,03,38,83,03
53,56,91,41,43,73
71,10,49,02,48,85
03,39,97,38,56,89
07,99,71,71,65,22
41,58,90,95,91,18
17,33,55,48,83,54
40,40,59,60,85,68
06,11,63,81,49,53
68,42,96,88,21,80
36,35,02,24,84,21
24,02,65,92,92,54
62,58,94,42,30,60
65,84,68,50,**,73
18,18,11,27,76,61
38,70,76,90,42,49
29,75,52,79,31,14
59,11,17,93,89,33
25,73,00,76,**,97
04,25,33,35,19,76
15,26,08,77,97,30
80,43,94,77,42,32
17,04,28,36,04,39
70,06,76,12,11,90
78,50,41,75,32,82
50,47,62,76,38,46
05,22,05,61,81,83
91,21,54,86,73,59
07,82,81,91,51,25
00,47,80,53,00,70
68,09,92,99,99,76
65,40,86,01,62,45
08,41,22,42,54,25
22,20,92,62,07,**
89,98,45,24,98,94
83,64,77,99,53,82
97,89,22,18,65,60
56,69,46,31,19,87
08,26,07,50,68,11
62,51,08,58,31,65
43,47,00,27,83,27
23,24,88,46,46,63
29,73,**,06,66,55
88,11,36,43,90,66
48,19,77,04,90,91
47,62,97,10,12,84
82,88,25,28,66,58
04,51,75,08,94,39
77,18,73,95,19,19
88,75,77,53,83,84
57,45,72,20,27,45
52,99,30,34,52,68
63,57,12,79,20,41
78,74,97,37,74,81
**,**,**,**,**,**
43,31,99,79,73,09
06,99,33,27,63,09
09,94,84,91,85,62
39,19,07,01,60,49
62,02,68,06,07,06
35,60,98,74,23,62
62,87,04,34,58,90
66,32,86,21,14,82
28,34,34,32,17,09
94,60,81,60,06,64
38,09,41,95,69,**
79,38,85,59,66,57
65,29,09,85,35,87
97,41,63,66,17,81
87,74,12,72,95,33
14,41,42,59,74,29
94,39,43,39,64,11
75,93,18,17,84,61
35,72,42,**,56,56
94,11,85,77,82,74
19,07,32,48,31,22
64,61,42,62,53,86
25,83,38,68,20,32
90,80,35,84,37,10
74,84,98,05,38,87
48,01,36,07,46,41
37,55,02,28,94,52
11,96,66,14,05,74
38,95,85,99,59,92
93,80,98,72,24,01
07,58,71,31,51,96
58,33,10,05,54,70
57,68,03,98,14,67
55,68,61,33,33,34
91,39,17,14,88,97
33,57,49,54,83,45
61,27,71,81,04,35
14,19,70,47,04,47
75,55,27,91,60,54
73,63,39,**,71,62
36,24,74,17,56,96
92,87,23,23,92,21
49,96,44,57,18,28
00,76,60,02,96,78
27,80,62,34,03,20
51,87,20,64,42,48
05,87,85,24,94,82
21,36,64,38,46,07
56,88,91,59,03,11
03,92,26,80,**,**
**,**,**,**,**,**
16,95,19,91,39,51
95,35,01,17,35,80
04,17,15,36,25,29
43,84,93,61,90,66
73,66,95,25,70,68
48,15,69,59,58,29
48,55,11,10,72,23
98,42,97,15,38,43
22,02,23,49,21,68
06,90,94,15,40,64
76,11,12,29,55,04
49,54,31,54,23,77
41,22,67,04,95,10
56,31,15,01,16,34
64,59,37,73,69,34
85,91,96,06,41,06
74,91,80,25,39,67
71,78,62,42,03,87
30,**,57,70,26,65
31,25,98,78,97,70
56,09,39,44,40,24
31,01,19,31,11,38
61,63,88,95,54,05
65,36,38,37,44,93
44,29,51,87,08,77
01,57,59,41,96,48
64,40,46,08,51,23
78,31,24,40,04,78
77,70,11,44,87,43
28,05,99,32,86,03
71,67,67,62,73,05
23,62,05,69,72,67
34,58,52,43,45,75
81,60,24,15,24,**
05,61,19,85,43,60
39,43,35,11,29,49
59,61,92,19,06,21
29,77,38,86,89,66
71,71,28,92,40,35
78,25,69,75,85,84
83,57,66,54,01,52
05,98,33,38,77,95
66,44,76,82,97,64
05,62,92,62,14,02
63,54,80,05,80,02
44,96,42,90,93,36
**,**,**,**,**,**
**,**,**,**,**,**
88,14,69,68,93,16
49,44,61,72,56,60
12,01,89,74,36,32
77,03,77,32,10,03
54,77,12,08,32,65
19,82,71,54,55,46
36,18,63,74,82,31
29,59,52,06,62,80
52,30,36,52,53,03
98,**,02,51,37,75
31,00,97,68,33,18
81,98,12,30,70,17
01,55,93,16,42,57
40,49,80,43,48,72
45,70,55,79,49,14
22,81,60,90,63,06
80,16,01,49,72,34
71,72,84,76,33,94
**,48,84,68,18,19
23,31,35,04,73,28
99,02,35,73,92,79
68,26,16,66,06,68
08,66,70,41,22,15
66,28,74,81,72,43
38,20,57,38,79,34
37,80,90,84,52,93
38,32,29,97,19,95
26,44,51,81,50,66
83,80,28,23,21,43
68,50,96,07,47,09
79,41,06,45,32,53
61,69,87,07,71,70
07,67,71,26,26,91
54,56,83,84,54,56
02,33,49,16,59,34
65,86,35,93,26,53
89,00,66,08,22,29
66,25,66,26,14,33
80,07,54,94,60,18
83,15,07,24,45,23
59,64,15,91,92,18
35,14,27,92,76,64
30,85,10,73,55,87
82,58,18,57,51,94
80,99,76,22,18,30
42,43,21,73,58,52
24,22,91,78,92,86
74,59,72,12,27,94
94,16,57,69,21,65
**,**,**,**,**,**
**,92,25,70,00,72
97,76,87,90,16,56
40,30,73,39,93,30
17,23,11,50,31,09
42,55,53,02,30,48
90,37,88,74,68,82
45,55,52,19,34,41
08,80,60,08,17,31
84,64,19,23,37,07
09,57,91,52,09,31
05,20,51,44,88,88
40,01,**,08,41,24
48,39,55,69,16,40
72,55,37,94,81,99
76,63,58,27,08,11
81,84,76,37,85,74
96,43,08,74,25,51
93,71,05,63,39,53
52,99,33,74,**,01
70,23,23,72,99,47
66,65,90,06,93,68
27,20,30,94,09,36
52,33,21,59,19,63
35,20,65,76,06,07
07,04,29,34,37,48
34,92,49,29,87,60
41,51,79,91,70,26
31,54,95,58,93,78
46,21,12,05,45,76
86,54,70,12,95,06
51,27,88,82,22,37
86,60,16,64,11,44
90,44,91,12,32,39
26,67,88,11,39,90
28,73,26,78,18,32
49,74,22,93,92,02
64,50,21,57,25,48
22,14,23,20,56,40
54,21,87,05,36,65
98,82,97,04,89,65
**,39,91,73,27,67
18,10,65,07,81,31
90,52,18,12,50,53
39,82,86,41,74,81
05,58,99,48,71,43
47,66,06,30,88,99
04,13,34,30,08,71
15,58,67,97,14,99
09,38,11,35,64,79
51,07,63,69,83,54
**,**,**,**,**,**
51,10,02,51,05,74
99,58,52,30,56,92
70,24,64,51,67,12
68,62,20,81,74,49
06,44,01,38,25,72
79,91,63,99,44,64
25,42,87,87,58,28
31,94,61,18,98,46
94,81,55,90,58,61
87,11,11,85,17,19
97,35,79,57,72,33
02,15,15,69,96,82
94,56,80,**,89,15
48,38,48,30,47,12
44,95,53,11,22,92
80,39,52,68,67,73
43,11,50,12,26,56
51,94,85,60,37,16
14,34,**,93,61,64
96,00,30,38,89,83
76,22,07,97,01,58
36,87,37,95,68,07
60,81,43,72,26,98
70,04,42,17,58,35
12,76,51,27,52,04
71,41,28,83,38,00
88,55,63,79,71,62
38,37,35,63,22,51
71,15,00,42,06,45
05,36,06,56,56,06
54,58,20,86,37,32
58,58,20,24,00,29
92,78,24,19,,
